Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto;
CANADA,PUERTO BARRIOS,03/05/2016, 87032369,2003,ACURA,EL PREMIUM,1700,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,8745.38,1049.45,;
JAPON,EL CARMEN,06/05/2016, 87032369,1994,ACURA,INTEGRA LS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14498.56,1739.83,;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,29/04/2016, 87032490,2004,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16859.9,2023.19,;
JAPON,EL CARMEN,28/04/2016, 87032369,2005,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,14545.94,1745.51,;
CANADA,TECUN UMAN,19/04/2016, 87032490,2005,ACURA,MDX 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,47184.42,5662.13,;
JAPON,PUERTO BARRIOS,05/05/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,14740.04,1768.8,;
JAPON,PUERTO BARRIOS,21/04/2016, 87032369,2004,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,10914.53,1309.74,;
JAPON,SANTO TOMAS DE CASTILLA,22/04/2016, 87032369,2000,ACURA,Integra GS-R,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,7340.83,880.9,;
JAPON,PUERTO BARRIOS,19/04/2016, 87032369,1997,ACURA,INTEGRA,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,10498.56,1259.83,;
CANADA,PUERTO BARRIOS,21/04/2016, 87032490,2003,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,21465.24,2575.83,;
JAPON,PUERTO BARRIOS,16/04/2016, 87032369,2006,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,16492.8,1979.14,;
JAPON,PUERTO BARRIOS,15/04/2016, 87032369,2006,ACURA,RSX S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,46172.11,5540.65,;
ESTADOS UNIDOS,PUERTO BARRIOS,09/04/2016, 87032379,2000,AUDI,A6,2700,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12199.02,1463.88,;
ALEMANIA REP. FED.,TECUN UMAN,06/05/2016, 87032369,2006,AUDI,A3 2.0 T PREMIUM,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15809.6,1897.15,;
SLOVAKIA,SANTO TOMAS DE CASTILLA,15/04/2016, 87032374,2017,AUDI,Q7,2995,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,5,0,421549.85,50585.98,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/04/2016, 87032269,2017,AUDI,A4,1395,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,172118.74,20654.25,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/04/2016, 87032269,2017,AUDI,A4,1395,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,181408.75,21769.05,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/04/2016, 87032269,2017,AUDI,A4,1395,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,172118.74,20654.25,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/04/2016, 87032269,2017,AUDI,A4,1395,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,172118.74,20654.25,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/04/2016, 87032269,2017,AUDI,A4,1395,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,172118.74,20654.25,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/04/2016, 87032363,2017,AUDI,Q5,1984,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,219960.41,26395.25,;
ALEMANIA REP. FED.,PUERTO BARRIOS,19/04/2016, 87032369,2002,AUDI,A4 QUATTRO,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,8256.6,990.79,;
ALEMANIA REP. FED.,TECUN UMAN,15/04/2016, 87032369,2006,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16206.31,1944.76,;
ESTADOS UNIDOS,PUERTO BARRIOS,08/04/2016, 87032369,2008,AUDI,TT,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,40766.35,4891.96,;
ALEMANIA REP. FED.,TECUN UMAN,07/05/2016, 87032379,2012,AUDI,A7 PREMIUM 3.0T,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,119948.86,14393.86,;
HUNGRIA,PUERTO BARRIOS,02/05/2016, 87032369,2001,AUDI,TT QUATTRO CONVERTIBLE,1781,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,2,2,0,19241.94,2309.03,;
ALEMANIA REP. FED.,PUERTO BARRIOS,29/04/2016, 87032369,2007,AUDI,A4 2.0 T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17246.6,2069.59,;
ALEMANIA REP. FED.,TECUN UMAN,30/04/2016, 87032490,2008,AUDI,Q7 3.6 QUATTRO 4WD,3600,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,56186.78,6742.41,;
ALEMANIA REP. FED.,PUERTO BARRIOS,07/05/2016, 87032369,2006,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11763.92,1411.67,;
ALEMANIA REP. FED.,TECUN UMAN,02/05/2016, 87032369,2011,AUDI,Q5 2.0QUATTRO PREMIUM 4X4,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,45011.3,5401.36,;
ALEMANIA REP. FED.,PUERTO BARRIOS,07/05/2016, 87032369,2012,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17422.61,2090.71,;
