Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;;
CANADA,TECUN UMAN,05/09/2016, 87032490,2002,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,26239.9,3148.79,;;
JAPON,EL CARMEN,04/09/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,10334.6,1240.15,;;
JAPON,G8; CENTRALSA,23/08/2016, 87032369,2005,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,12171.08,1460.53,;
ESTADOS UNIDOS,PUERTO BARRIOS,25/08/2016, 87032490,2003,ACURA,TL S,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,37617.92,4514.15,;;
CANADA,TECUN UMAN,23/08/2016, 87032490,2005,ACURA,MDX TOURING AWD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,50383.9,6046.07,;;
JAPON,PUERTO BARRIOS,02/09/2016, 87032369,2003,ACURA,RSX COUPE,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,6928.7,831.44,;;
CANADA,PUERTO BARRIOS,05/09/2016, 87032369,2006,ACURA,CSX PREMIUM,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12682.62,1521.91,;;
JAPON,PUERTO BARRIOS,16/08/2016, 87032369,2005,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,10113.64,1213.64,;;
ESTADOS UNIDOS,EL CARMEN,16/08/2016, 87032490,2005,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,35127.14,4215.26,;;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,17/08/2016, 87032490,2004,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,18602.23,2232.27,;;
ESTADOS UNIDOS,PUERTO QUETZAL,29/08/2016, 87032369,1997,ACURA,INTEGRA GS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,32680.26,3921.63,;;
JAPON,PUERTO BARRIOS,01/09/2016, 87032369,2006,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,11458.77,1375.05,;;
JAPON,EL CARMEN,03/09/2016, 87032369,2005,ACURA,RSX TYPE S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,18164.75,2179.77,;;
JAPON,PUERTO BARRIOS,12/08/2016, 87032379,2005,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19364.96,2323.8,;;
ESTADOS UNIDOS,TECUN UMAN,29/08/2016, 87032490,2005,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,35354.59,4242.55,;;
ESTADOS UNIDOS,TECUN UMAN,10/08/2016, 87032379,2007,ACURA,RDX TURBO 4X4,2300,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,21767.43,2612.09,;;
JAPON,PUERTO BARRIOS,12/08/2016, 87032369,2006,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,9217.12,1106.05,;;
ESTADOS UNIDOS,PUERTO BARRIOS,24/08/2016, 87032490,2002,ACURA,TL TYPES-S,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9351.6,1122.19,;;
JAPON,PUERTO BARRIOS,12/08/2016, 87032379,2006,ACURA,TSX 5-SPEED AT,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11859.16,1423.1,;;
JAPON,PUERTO BARRIOS,24/08/2016, 87032369,2003,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,12108.74,1453.05,;;
CANADA,PUERTO BARRIOS,22/08/2016, 87032490,2005,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,26956.68,3234.8,;;
JAPON,EL CARMEN,19/08/2016, 87032369,2004,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,36708.82,4405.06,;;
JAPON,PUERTO QUETZAL,26/08/2016, 87032369,1989,ALFA-ROMEO,SPIDER,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,2,2,0,23232.16,2787.86,;;
ALEMANIA REP. FED.,EL CARMEN,13/08/2016, 87032379,2004,AUDI,A4 3.0 QUATTRO,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,18374.2,2204.9,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,23/08/2016, 87032369,2004,AUDI,A4 Quattro,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16895.2,2027.42,;;
