Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;
JAPON,PUERTO BARRIOS,21/12/2016, 87032369,2006,ACURA,RSX TYPE-S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,18639.15,2236.7,;
JAPON,PUERTO BARRIOS,24/12/2016, 87032379,2005,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12203.97,1464.48,;
JAPON,TECUN UMAN,21/12/2016, 87032369,2006,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,14791.79,1775.01,;
JAPON,TECUN UMAN,27/12/2016, 87032369,1995,ACURA,INTEGRA LS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,23060.27,2767.23,;
JAPON,PUERTO BARRIOS,19/12/2016, 87032369,1996,ACURA,INTEGRA,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,8832.89,1059.95,;
CANADA,TECUN UMAN,21/12/2016, 87032490,2005,ACURA,MDX 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,32719.91,3926.39,;
JAPON,EL CARMEN,20/12/2016, 87032379,2004,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,21019.28,2522.31,;
JAPON,EL CARMEN,21/12/2016, 87032379,2006,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,25307.64,3036.92,;
ESTADOS UNIDOS,PUERTO BARRIOS,13/12/2016, 87032379,2008,ACURA,RDX AWD,2300,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,15561.33,1867.36,;
JAPON,PUERTO BARRIOS,19/12/2016, 87032490,1991,ACURA,LEGEND L,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11827.09,1419.25,;
CANADA,EL CARMEN,20/12/2016, 87032490,2003,ACURA,MDX TOURING 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,34213.97,4105.68,;
CANADA,TECUN UMAN,24/12/2016, 87032490,2002,ACURA,MDX AWD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,23060.27,2767.23,;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,17/12/2016, 87032490,2008,ACURA,TL TYPE S,3500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,27592.67,3311.12,;
JAPON,PUERTO BARRIOS,13/12/2016, 87032369,2006,ACURA,RSX COUPE,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,11067.31,1328.08,;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,15/12/2016, 87032480,2014,ACURA,MDX,3471,LIVIANO,CAMIONETA,DISTRIBUIDOR,GASOLINA,7,5,0,40539.8,4864.78,;
JAPON,EL CARMEN,12/12/2016, 87032369,2003,ACURA,RSX TYPE-S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,29109.31,3493.12,;
JAPON,EL CARMEN,20/12/2016, 87032369,2005,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,9487.28,1138.47,;
JAPON,TECUN UMAN,27/12/2016, 87032369,2005,ACURA,RSX TYPE-S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,23822.02,2858.64,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,TECUN UMAN,21/12/2016, 87032369,2009,AUDI,A4 2.0T PREMIUM PLUS,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,41221.12,4946.53,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
ESPANA,SANTO TOMAS DE CASTILLA,27/12/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,165569.45,19868.33,;
ESPANA,SANTO TOMAS DE CASTILLA,27/12/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,163922.29,19670.67,;
ESPANA,SANTO TOMAS DE CASTILLA,27/12/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,163922.29,19670.67,;
ESPANA,SANTO TOMAS DE CASTILLA,27/12/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,163922.29,19670.67,;
ESPANA,SANTO TOMAS DE CASTILLA,27/12/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,163922.29,19670.67,;
BELGICA,SANTO TOMAS DE CASTILLA,27/12/2016, 87032269,2017,AUDI,A1,1395,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,5,0,155280.44,18633.65,;
BELGICA,SANTO TOMAS DE CASTILLA,27/12/2016, 87032269,2017,AUDI,A1,1395,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,5,0,177264.86,21271.78,;
ALEMANIA REP. FED.,TECUN UMAN,21/12/2016, 87032369,2010,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,40102.18,4812.26,;
ESPANA,SANTO TOMAS DE CASTILLA,27/12/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,163922.29,19670.67,;
ESPANA,SANTO TOMAS DE CASTILLA,27/12/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,163922.29,19670.67,;
ESPANA,SANTO TOMAS DE CASTILLA,27/12/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,163922.29,19670.67,;
ESPANA,SANTO TOMAS DE CASTILLA,27/12/2016, 87032269,2017,AUDI,Q3,1395,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,163922.29,19670.67,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,27/12/2016, 87032369,2017,AUDI,A4,1984,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,204566.69,24548,;
ALEMANIA REP. FED.,TECUN UMAN,27/12/2016, 87032490,2007,AUDI,Q7 QUATTRO PREMIUM 4X4,3600,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,45531.51,5463.78,;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,15/12/2016, 87033269,2016,AUDI,A3,1968,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,5,0,748884.01,89866.08,;
