Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo_del_Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;
ESTADOS UNIDOS,PUERTO BARRIOS,04/03/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,11492.33,1379.08,;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,19/02/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,10299.33,1235.92,;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,18/02/2016, 87032369,2004,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,15190.57,1822.87,;
ESTADOS UNIDOS,PUERTO BARRIOS,26/02/2016, 87032369,2000,ACURA,INTEGRA GS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,22630.62,2715.67,;
JAPON,SANTO TOMAS DE CASTILLA,04/03/2016, 87032369,2004,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,12474.64,1496.96,;
ESTADOS UNIDOS,PUERTO BARRIOS,29/02/2016, 87032369,2002,ACURA,RSX TYPE S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,7436.85,892.42,;
JAPON,SANTO TOMAS DE CASTILLA,08/02/2016, 87032379,2012,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,30441.03,3652.92,;
CANADA,TECUN UMAN,16/02/2016, 87032490,2002,ACURA,MDX AWD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,27413.13,3289.58,;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,03/03/2016, 87032369,2003,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,15531.38,1863.77,;
ESTADOS UNIDOS,PUERTO BARRIOS,03/03/2016, 87032369,2004,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,12706.1,1524.73,;
