Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto;
JAPON,PUERTO BARRIOS,28/07/2016, 87032379,2004,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14283.85,1714.06,;
JAPON,EL CARMEN,08/07/2016, 87032369,2004,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,13898.01,1667.76,;
JAPON,EL CARMEN,01/08/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,25553.48,3066.42,;
JAPON,EL CARMEN,26/07/2016, 87032369,2006,ACURA,RSX S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,29360.1,3523.21,;
JAPON,TECUN UMAN,06/08/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,13705.72,1644.69,;
JAPON,EL CARMEN,06/08/2016, 87032379,2005,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,21071.23,2528.55,;
JAPON,PUERTO BARRIOS,27/07/2016, 87032369,2005,ACURA,RSX TYPE-S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,18446.1,2213.53,;
JAPON,SANTO TOMAS DE CASTILLA,22/07/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,10197.13,1223.66,;
ESTADOS UNIDOS,G4; ALSERSA,25/07/2016, 87032369,2002,ACURA,RSX TYPE-S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,20086.8,2410.42,
CANADA,EL CARMEN,26/07/2016, 87032490,2002,ACURA,MDX 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,25656.23,3078.75,;
ESTADOS UNIDOS,PUERTO BARRIOS,26/07/2016, 87032490,2003,ACURA,3.2TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11577.35,1389.28,;
JAPON,TECUN UMAN,22/07/2016, 87032369,2002,ACURA,RSX S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,12907.76,1548.93,;
CANADA,TECUN UMAN,25/07/2016, 87032490,2003,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,29451.53,3534.18,;
JAPON,PUERTO BARRIOS,19/07/2016, 87032379,2005,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13147.06,1577.65,;
ESTADOS UNIDOS,TECUN UMAN,09/07/2016, 87032490,2016,ACURA,RDX AWD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,77517.78,9302.13,;
JAPON,TECUN UMAN,19/07/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,18088,2170.56,;
CANADA,PUERTO BARRIOS,08/07/2016, 87032369,2008,ACURA,CSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14848.76,1781.85,;
JAPON,TECUN UMAN,22/07/2016, 87032369,2002,ACURA,RSX S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,14008.72,1681.05,;
