Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;
CANADA,EL CARMEN,25/06/2016, 87032490,2001,ACURA,MDX TOURING AWD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,22204.66,2664.56,;
JAPON,EL CARMEN,11/06/2016, 87032379,2004,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14814.51,1777.74,;
ESTADOS UNIDOS,EL CARMEN,05/07/2016, 87032379,1999,ACURA,3.0CL,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,14997.1,1799.65,;
JAPON,PUERTO BARRIOS,30/06/2016, 87032369,1998,ACURA,INTEGRA GS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,9378.73,1125.45,;
JAPON,PUERTO BARRIOS,02/07/2016, 87032369,2004,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,11249.89,1349.99,;
ESTADOS UNIDOS,PUERTO BARRIOS,20/06/2016, 87032490,1999,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12061.72,1447.41,;
ESTADOS UNIDOS,TECUN UMAN,17/06/2016, 87032490,2000,ACURA,TL 3.2,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,10755.3,1290.64,;
CANADA,PUERTO BARRIOS,16/06/2016, 87032490,2003,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,16688.38,2002.61,;
ESTADOS UNIDOS,TECUN UMAN,27/06/2016, 87032490,2002,ACURA,TL 3.2,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14241.52,1708.98,;
JAPON,EL CARMEN,07/07/2016, 87032369,2005,ACURA,RSX TYPE-S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,24935.17,2992.22,;
JAPON,PUERTO BARRIOS,29/06/2016, 87032369,2002,ACURA,RSX S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,13463.5,1615.62,;
ESTADOS UNIDOS,TECUN UMAN,20/06/2016, 87032490,2005,ACURA,LT,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14466.43,1735.97,;
JAPON,PUERTO BARRIOS,20/06/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,10863.18,1303.58,;
CANADA,TECUN UMAN,24/06/2016, 87032490,2004,ACURA,MDX 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,29600.13,3552.02,;
