pais,Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto;
CANADA,TECUN UMAN,28/10/2016, 87032490,2006,ACURA,MDX 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,26188.74,3142.65,;
JAPON,SANTO TOMAS DE CASTILLA,14/10/2016, 87032379,2004,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,21517.92,2582.15,;
JAPON,TECUN UMAN,24/10/2016, 87032379,2004,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15104.19,1812.5,;
JAPON,PUERTO BARRIOS,26/10/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,17777.09,2133.25,;
JAPON,G8; CENTRALSA,19/10/2016, 87032369,1994,ACURA,INTEGRA LS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,9324.43,1118.93,
ESTADOS UNIDOS,G8; CENTRALSA,19/10/2016, 87032490,2006,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11236.13,1348.34,
JAPON,EL CARMEN,25/10/2016, 87032369,2006,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,13612.67,1633.52,;
CANADA,PUERTO BARRIOS,12/10/2016, 87032490,2002,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,33113.81,3973.66,;
JAPON,PUERTO BARRIOS,14/10/2016, 87032379,2004,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,23759.37,2851.12,;
JAPON,SANTO TOMAS DE CASTILLA,21/10/2016, 87032369,2003,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,9588.86,1150.66,;
JAPON,PUERTO BARRIOS,19/10/2016, 87032369,2004,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,34675.92,4161.11,;
ESTADOS UNIDOS,PUERTO BARRIOS,07/11/2016, 87032490,2006,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,23140.04,2776.8,;
JAPON,EL CARMEN,19/10/2016, 87032369,2003,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,20505.98,2460.72,;
JAPON,PUERTO BARRIOS,25/10/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,9664.38,1159.73,;
CANADA,TECUN UMAN,31/10/2016, 87032490,2004,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,15617.42,1874.09,;
ESTADOS UNIDOS,PUERTO BARRIOS,25/10/2016, 87032490,2005,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,23110.47,2773.26,;
CANADA,PUERTO BARRIOS,22/10/2016, 87032490,2002,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,18203.86,2184.46,;
