Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto;
JAPON,EL CARMEN,25/09/2016, 87032369,2004,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,18140.69,2176.88,;
JAPON,PUERTO BARRIOS,12/09/2016, 87032369,1990,ACURA,INTEGRA GS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,7473.62,896.83,;
JAPON,PUERTO BARRIOS,12/09/2016, 87032379,2012,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,32423.3,3890.8,;
JAPON,SANTO TOMAS DE CASTILLA,08/09/2016, 87032369,2003,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,12283.84,1474.06,;
ESTADOS UNIDOS,PUERTO BARRIOS,20/09/2016, 87032490,2003,ACURA,TL 3.2TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11869.43,1424.33,;
ESTADOS UNIDOS,EL CARMEN,24/09/2016, 87032490,2011,ACURA,TL PRINCETON SH-AWD,3700,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,63000,7560,;
CANADA,EL CARMEN,25/09/2016, 87032490,2004,ACURA,MDX 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,24263.35,2911.6,;
ESTADOS UNIDOS,EL CARMEN,01/10/2016, 87032379,2008,ACURA,RDX AWD,2300,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,31436.53,3772.38,;
JAPON,TECUN UMAN,19/09/2016, 87032379,2004,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,43496.2,5219.54,;
ESTADOS UNIDOS,EL CARMEN,26/09/2016, 87032490,2000,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17890.94,2146.91,;
JAPON,TECUN UMAN,22/09/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,14717.7,1766.12,;
CANADA,PUERTO BARRIOS,29/09/2016, 87032490,2004,ACURA,MDX TOURING AWD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,26924.46,3230.94,;
ESTADOS UNIDOS,EL CARMEN,03/10/2016, 87032490,2005,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,35191.26,4222.95,;
CANADA,PUERTO BARRIOS,03/10/2016, 87032490,2006,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,41958.81,5035.06,;
CANADA,TECUN UMAN,07/10/2016, 87032490,2003,ACURA,MDX TOURING 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,26083.3,3130,;
JAPON,PUERTO BARRIOS,01/10/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,9889.72,1186.77,;
JAPON,PUERTO BARRIOS,08/09/2016, 87032379,2012,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,34628.38,4155.41,;
CANADA,EL CARMEN,28/09/2016, 87032490,2003,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,21666.53,2599.98,;
CANADA,EL CARMEN,24/09/2016, 87032490,2001,ACURA,MDX 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,30673.03,3680.76,;
ESTADOS UNIDOS,EL CARMEN,11/09/2016, 87032490,1999,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17173.42,2060.81,;
ALEMANIA REP. FED.,PUERTO BARRIOS,21/09/2016, 87032369,2009,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14000.26,1680.03,;
ALEMANIA REP. FED.,PUERTO BARRIOS,06/10/2016, 87032379,2002,AUDI,A4 3.0 QUATTRO,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,8203.07,984.37,;
ALEMANIA REP. FED.,EL CARMEN,30/09/2016, 87032369,2008,AUDI,A4,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13747.84,1649.74,;
ALEMANIA REP. FED.,TECUN UMAN,01/10/2016, 87032369,2009,AUDI,A4 2.0 T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,39092.6,4691.11,;
ESPANA,SANTO TOMAS DE CASTILLA,06/10/2016, 87032363,2017,AUDI,Q3,1984,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,204314.79,24517.77,;
ALEMANIA REP. FED.,PUERTO QUETZAL,07/10/2016, 87032490,2003,AUDI,S4,4163,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,53815.54,6457.86,;
ALEMANIA REP. FED.,G4; ALSERSA,22/09/2016, 87032369,2006,AUDI,A4,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15177.38,1821.29,
