Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto;
ESTADOS UNIDOS,PUERTO BARRIOS,17/01/2017, 8703249000,2003,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11926.16,1431.14,;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,23/01/2017, 8703249000,2004,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,21652.99,2598.36,;
JAPON,PUERTO BARRIOS,19/01/2017, 8703236900,2005,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,9928.89,1191.47,;
JAPON,SANTO TOMAS DE CASTILLA,07/02/2017, 8703236900,2004,ACURA,RSX TYPE-S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,19304.72,2316.57,;
JAPON,SANTO TOMAS DE CASTILLA,06/02/2017, 8703236900,2001,ACURA,INTEGRA GS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,9889.75,1186.77,;
JAPON,PUERTO BARRIOS,04/02/2017, 8703237900,2006,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13577.56,1629.31,;
JAPON,EL CARMEN,30/01/2017, 8703236900,2003,ACURA,RSX  S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,25270.57,3032.47,;
ESTADOS UNIDOS,PUERTO BARRIOS,20/01/2017, 8703249000,2015,ACURA,RDX AWD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,56362.25,6763.47,;
CANADA,PUERTO BARRIOS,23/01/2017, 8703236900,2007,ACURA,CSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11638.48,1396.62,;
JAPON,PUERTO BARRIOS,16/01/2017, 8703236900,2006,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,7757.29,930.87,;
CANADA,PUERTO BARRIOS,24/01/2017, 8703249000,2001,ACURA,MDX TOURING 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,12635.12,1516.21,;
JAPON,PUERTO BARRIOS,31/01/2017, 8703236900,2004,ACURA,RSX TYPE S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,15546.75,1865.61,;
JAPON,PUERTO BARRIOS,03/02/2017, 8703237900,2006,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13749.15,1649.9,;
ALEMANIA REP. FED.,PUERTO BARRIOS,30/01/2017, 8703236900,2009,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,29001.45,3480.17,;
ALEMANIA REP. FED.,PUERTO BARRIOS,01/02/2017, 8703236900,1998,AUDI,A4 1.8T QUATTRO,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,8298.22,995.79,;
