pais,Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto;;
CANADA,G8; CENTRALSA,28/02/2017, 8703236900,2005,ACURA,EL PREMIUM,1700,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9546.92,1145.63,;
CANADA,EL CARMEN,23/02/2017, 8703249000,2004,ACURA,MDX TOURING 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,13846.76,1661.61,;;
JAPON,TECUN UMAN,02/03/2017, 8703237900,2005,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,32319.14,3878.3,;;
CANADA,TECUN UMAN,06/03/2017, 8703249000,2002,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,11930.97,1431.72,;;
JAPON,PUERTO BARRIOS,16/02/2017, 8703236900,2003,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,9023.43,1082.81,;;
JAPON,PUERTO BARRIOS,28/02/2017, 8703236900,1991,ACURA,INTEGRA GS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,8031.67,963.8,;;
JAPON,PUERTO BARRIOS,16/02/2017, 8703236900,2003,ACURA,RSX TYPE-S,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,13912.98,1669.56,;;
JAPON,PUERTO BARRIOS,13/02/2017, 8703236900,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,10720.62,1286.47,;;
JAPON,SANTO TOMAS DE CASTILLA,08/02/2017, 8703236900,2006,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,11037.4,1324.49,;;
CANADA,G8; CENTRALSA,08/02/2017, 8703236900,2009,ACURA,CSX TOURING,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11327.04,1359.24,;
ESTADOS UNIDOS,TECUN UMAN,19/02/2017, 8703249000,2003,ACURA,TL TYPE-S,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,24246.09,2909.53,;;
ESTADOS UNIDOS,TECUN UMAN,06/03/2017, 8703249000,2006,ACURA,TL,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,26029.87,3123.58,;;
CANADA,EL CARMEN,19/02/2017, 8703249000,2004,ACURA,MDX 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,39769.5,4772.34,;;
JAPON,TECUN UMAN,17/02/2017, 8703237900,2005,ACURA,TSX,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,22767.67,2732.12,;;
JAPON,PUERTO BARRIOS,14/02/2017, 8703236900,2003,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,7072.5,848.7,;;
CANADA,EL CARMEN,07/03/2017, 8703249000,2001,ACURA,MDX AWD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,19767.14,2372.06,;;
CANADA,G8; CENTRALSA,08/02/2017, 8703236900,2005,ACURA,EL 1.7L PREMIUM,1700,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9891.76,1187.01,;
CANADA,TECUN UMAN,07/03/2017, 8703249000,2004,ACURA,MDX 4WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,42632.12,5115.85,;;
CANADA,EL CARMEN,24/02/2017, 8703249000,2002,ACURA,MDX 4X2,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,28526.15,3423.14,;;
CANADA,EL CARMEN,18/02/2017, 8703249000,2002,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,13897.15,1667.66,;;
CANADA,EL CARMEN,23/02/2017, 8703249000,2006,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,13846.76,1661.61,;;
ITALIA,PUERTO BARRIOS,03/03/2017, 8703236900,1988,ALFA-ROMEO,SPIDER GRADUATE,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,2,2,0,20934.5,2512.14,;;
ALEMANIA REP. FED.,EL CARMEN,20/02/2017, 8703236900,2005,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16828.91,2019.47,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,03/03/2017, 8703236900,2008,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,21000.87,2520.1,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,08/02/2017, 8703236900,2014,AUDI,Q5 2.0T QUATTRO PREMIUM,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,122199.77,14663.97,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,23/02/2017, 8703236900,2007,AUDI,A4,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16778.15,2013.38,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,04/03/2017, 8703237900,2003,AUDI,A6 2.7T QUATTRO,2700,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11599.14,1391.9,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,13/02/2017, 8703236900,2007,AUDI,A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,10980.65,1317.68,;;
ALEMANIA REP. FED.,TECUN UMAN,24/02/2017, 8703236900,2006,AUDI,NEW A4 2.0T,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12924.99,1551,;;
ALEMANIA REP. FED.,EL CARMEN,21/02/2017, 8703236900,2007,AUDI,A3 2.0T DSG HATCHBACK,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16956.45,2034.77,;;
ALEMANIA REP. FED.,TECUN UMAN,11/02/2017, 8703236900,2015,AUDI,A4,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,78375.44,9405.05,;;
SUECIA,EXPRESS AEREO,22/02/2017, 8703236900,2008,AUDI,A3,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,68708.36,8245,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,10/02/2017, 8703236900,2008,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,18500.77,2220.09,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,11/02/2017, 8703236900,2002,AUDI,A4 1.8T QUATTRO,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,10916.05,1309.93,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,01/03/2017, 8703236900,2006,AUDI,A4 QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11273.81,1352.86,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,18/02/2017, 8703236900,2007,AUDI,A3,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15656.47,1878.78,;;
ALEMANIA REP. FED.,EL CARMEN,04/03/2017, 8703249000,2008,AUDI,A6  QUATTRO,4200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19968.52,2396.22,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,01/03/2017, 8703236900,2006,AUDI,A4,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11578.75,1389.45,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,10/02/2017, 8703236900,2008,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,20359.77,2443.17,;;
HUNGRIA,PUERTO BARRIOS,10/02/2017, 8703236900,2003,AUDI,TT QUATTRO,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,13035.31,1564.24,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,06/03/2017, 8703236900,2008,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17793.22,2135.19,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,08/02/2017, 8703249000,2007,AUDI,S4 QUATTRO,4200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16890.02,2026.8,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,28/02/2017, 8703236900,2009,AUDI,4A QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,33231.94,3987.83,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,07/03/2017, 8703236900,2015,AUDI,A3 PREMIUM,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,64316.98,7718.04,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,06/03/2017, 8703236900,2007,AUDI,A4,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15337.71,1840.53,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,21/02/2017, 8703236900,2007,AUDI,A4 2.0T QUATTRO,1984,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17067.16,2048.06,;;
ALEMANIA REP. FED.,TECUN UMAN,17/02/2017, 8703236900,2004,AUDI,A4 1.8T Quattro,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9373.18,1124.78,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,01/03/2017, 8703236900,2003,AUDI,A4,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9735,1168.2,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,21/02/2017, 8703236900,2004,AUDI,A4 1.8T QUATTRO,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12049.58,1445.95,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,01/03/2017, 8703236900,2006,AUDI,A4 QUATTRO,2000,LIVIANO,CAMIONETILLA,OCASIONAL,GASOLINA,5,4,0,24322.75,2918.73,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,17/02/2017, 8703237900,2001,AUDI,S4 QUATTRO AWD,2700,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,8449.17,1013.9,;;
ALEMANIA REP. FED.,EL CARMEN,14/02/2017, 8703236900,2008,AUDI,A4 2.0T QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19910.79,2389.29,;;
HUNGRIA,G4; ALSERSA,08/02/2017, 8703236900,2012,AUDI,TT QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,45429.4,5451.53,;
ALEMANIA REP. FED.,PUERTO BARRIOS,14/02/2017, 8703236900,2007,AUDI,S-LINE QUATTRO,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,22857.6,2742.91,;;
ESTADOS UNIDOS,PUERTO QUETZAL,28/02/2017, 8701200000,1980,AM GENERAL,M920,14000,PESADO,CABEZAL,OCASIONAL,DIESEL,2,2,34,289480.36,34737.64,;;
MEXICO,PUERTO BARRIOS,18/02/2017, 8703249000,2004,BUICK,RENDEZVOUS 4X2,3400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,14451.56,1734.19,;;
ALEMANIA REP. FED.,TECUN UMAN,06/03/2017, 8703237900,2007,BMW,328i,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,24650.95,2958.11,;;
ALEMANIA REP. FED.,TECUN UMAN,11/02/2017, 8703237900,2007,BMW,328Xi,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17325.88,2079.11,;;
ALEMANIA REP. FED.,TECUN UMAN,06/03/2017, 8703237900,2009,BMW,328I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,23071.38,2768.57,;;
ESTADOS UNIDOS,TECUN UMAN,04/03/2017, 8703237900,2008,BMW,X5 3.0I AWD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,56321.85,6758.62,;;
ESTADOS UNIDOS,PUERTO BARRIOS,17/02/2017, 8703236900,2014,BMW,X3 XDRIVE 28I 4WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,64638.29,7756.59,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,03/03/2017, 8703237900,2002,BMW,325XI,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,7690.98,922.92,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,22/02/2017, 8703237900,2007,BMW,335XI,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16733.31,2008,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,07/03/2017, 8703237900,2006,BMW,3 SERIES 325XI,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20615.36,2473.84,;;
ALEMANIA REP. FED.,TECUN UMAN,06/03/2017, 8703237900,2006,BMW,325i,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12631.49,1515.78,;;
ESTADOS UNIDOS,EL CARMEN,18/02/2017, 8703237900,2004,BMW,Z4 CONVERTIBLE 2.5i,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,2,2,0,21200.54,2544.06,;;
ALEMANIA REP. FED.,TECUN UMAN,21/02/2017, 8703236900,1991,BMW,318IS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,11658.5,1399.02,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,09/02/2017, 8703237900,2004,BMW,325Ci,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,8612.39,1033.49,;;
