"Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto",
"MEXICO,PUERTO BARRIOS,13/09/2017, 8703236900,2015,NISSAN,VERSA,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17777.9,2133.35,",
"JAPON,PUERTO BARRIOS,13/09/2017, 8704315100,1991,TOYOTA,4X4 X/C,3000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,2,1,13300.61,1596.07,",
"JAPON,EL CARMEN,13/09/2017, 8704315100,1992,TOYOTA,4X4 XTRA CAB DLX,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,17354.96,2082.6,",
"CANADA,TECUN UMAN,13/09/2017, 8703237900,2011,TOYOTA,RAV4 4WD,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,33054.64,3966.56,",
"REINO UNIDO,EL CARMEN,13/09/2017, 8703237900,2004,HONDA,CR-V LX 4X2,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,18157.08,2178.85,",
"ESTADOS UNIDOS,EL CARMEN,14/09/2017, 8704315100,1994,TOYOTA,4X4 DX,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,17354.96,2082.6,",
"JAPON,EL CARMEN,14/09/2017, 8704315100,1986,TOYOTA,4X2 STD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,17354.96,2082.6,",
"JAPON,PUERTO BARRIOS,13/09/2017, 8703236900,2001,TOYOTA,RAV4 L 2WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,15531.96,1863.84,",
"ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,13/09/2017, 8704229000,1986,BMY,M929 6X6,5900,PESADO,CAMION VOLTEO,OCASIONAL,DIESEL,3,2,5,43168.64,5180.24,",
"JAPON,PUERTO BARRIOS,14/09/2017, 8703226900,2008,TOYOTA,YARIS,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,14496.5,1739.58,",
"JAPON,EL CARMEN,14/09/2017, 8704315100,1990,TOYOTA,STANDAR 4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,18979.23,2277.51,",
"JAPON,EL CARMEN,14/09/2017, 8703237900,2007,MAZDA,CX-7 2WD,2300,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,24647.97,2957.76,",
