Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,
"JAPON,G8,"" CENTRALSA,10/07/2018, 8703236900,2013,MAZDA,MAZDA3i,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,21849.4,2621.93,"""
CANADA,TECUN UMAN,19/07/2018, 8703236900,2009,TOYOTA,COROLLA S,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,24109.65,2893.16,
JAPON,TECUN UMAN,19/07/2018, 8703237900,2012,MAZDA,MAZDA5,2500,LIVIANO,MICROBUS,OCASIONAL,GASOLINA,7,4,0,14770.63,1772.48,
JAPON,TECUN UMAN,19/07/2018, 8703226900,2008,TOYOTA,YARIS,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17410.65,2089.28,
JAPON,TECUN UMAN,19/07/2018, 8704315100,1986,TOYOTA,REGULAR CAB 4WD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,23644.38,2837.33,
COREA DEL SUR,PUERTO BARRIOS,19/07/2018, 8703249000,2017,HYUNDAI,SANTA FE LIMITED 4X2,3300,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,20327.38,2439.29,
MEXICO,EL CARMEN,19/07/2018, 8703236900,2009,NISSAN,VERSA S HATCHBACK,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17717.28,2126.07,
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,19/07/2018, 8703236900,2012,HONDA,CIVIC EX,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20426.25,2451.15,
ESTADOS UNIDOS,PUERTO BARRIOS,19/07/2018, 8703216000,2018,CAN-AM,MAVERICK X3 X RS TURBO R,900,LIVIANO,VEHICULO RUSTICO,OCASIONAL,GASOLINA,4,4,0,138942.64,16673.12,
"JAPON,G8,"" CENTRALSA,24/07/2018, 8703237900,2014,MAZDA,MAZDA 3S GRAND TOURING WHITE,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20813.5,2497.62,"""
ESTADOS UNIDOS,EL CARMEN,19/07/2018, 8704315100,1998,NISSAN,FRONTIER KING CAB 4X2 SE,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,27954.41,3354.53,
"JAPON,G8,"" CENTRALSA,24/07/2018, 8703226900,2008,TOYOTA,YARIS,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,15279.19,1833.5,"""
ESTADOS UNIDOS,EL CARMEN,19/07/2018, 8704315100,2002,TOYOTA,TACOMA PRERUNNER X/C 4X2,3400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,21673.56,2600.83,
ESTADOS UNIDOS,EL CARMEN,19/07/2018, 8703249000,2004,FORD,EXPEDITION EDDIE B 2WD,5400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,16142.84,1937.14,
ESTADOS UNIDOS,TECUN UMAN,19/07/2018, 8704315100,2005,FORD,RANGER XL 2WD,2300,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,16303.78,1956.45,
JAPON,PUERTO BARRIOS,19/07/2018, 8704315100,1986,TOYOTA,DLX 4WD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,20848.58,2501.83,
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,19/07/2018, 8704315100,2004,TOYOTA,TACOMA SR5 XTRA CAB 4WD,2700,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,34832.44,4179.89,
ESTADOS UNIDOS,TECUN UMAN,19/07/2018, 8701200000,2006,FREIGHTLINER,ST120,14000,PESADO,CABEZAL,OCASIONAL,DIESEL,2,2,15,45781.47,5493.78,
