"Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8711202000,2018,BAJAJ,RE 4S,199,LIVIANO,TRIMOTO,OCASIONAL,GASOLINA,3,0,0,1355109.87,162613.18,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
"INDIA,PUERTO QUETZAL,04/04/2018, 8703219000,2018,BAJAJ,QUTE QCAR LHD,217,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,4,0,566143.28,67937.19,",
