Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo_del_Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto,
COREA DEL SUR,EXPRESS AEREO,10/09/2018, 87032369,2004,KIA,RIO,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,22214.96,2665.8,
CANADA,SANTO TOMAS DE CASTILLA,11/09/2018, 8703236900,2003,HONDA,CIVIC EX,1700,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9052.28,1086.27,
"JAPON,G8,"" CENTRALSA,21/09/2018, 8703249000,2005,INFINITI,FX35 2WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,23108.43,2773.01,"","
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,10/09/2018, 8704315100,1992,TOYOTA,DLX 4WD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,21330.29,2559.63,
ESTADOS UNIDOS,TECUN UMAN,11/09/2018, 8704229000,1984,GMC,BRIGADIER,14000,PESADO,CAMION,OCASIONAL,DIESEL,2,2,15,25355.84,3042.7,
ESTADOS UNIDOS,EL CARMEN,11/09/2018, 8704315100,1999,FORD,Ranger SuperCab 2WD XLT,3000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,22026.82,2643.22,
ESTADOS UNIDOS,TECUN UMAN,14/09/2018, 8703249000,2017,JEEP,WRANGLER SPORT 4WD,3600,LIVIANO,JEEP,OCASIONAL,GASOLINA,4,2,0,74387.4,8926.49,
JAPON,EL CARMEN,15/09/2018, 8711209000,2001,YAMAHA,TT-R90,89,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,5897.03,707.64,
ESTADOS UNIDOS,TECUN UMAN,15/09/2018, 8704315100,2000,TOYOTA,TACOMA XTRACAB SR5 4WD,2700,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,25719.46,3086.34,
COREA DEL SUR,TECUN UMAN,17/09/2018, 8703237900,2012,KIA,SPORTAGE LX 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,29699.85,3563.98,
JAPON,EL CARMEN,15/09/2018, 8704315100,1990,TOYOTA,DLX 4X4,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,23423.08,2810.77,
JAPON,EL CARMEN,17/09/2018, 8703237900,2007,TOYOTA,RAV4 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,24855.08,2982.61,
JAPON,EL CARMEN,19/09/2018, 8703226900,2008,TOYOTA,YARIS LIFTBACK,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,15083.74,1810.05,
ESTADOS UNIDOS,EL CARMEN,19/09/2018, 8704315100,1998,NISSAN,FRONTIER KING CAB 4X4 SE,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,28124.52,3374.94,
