Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo_del_Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;
BRASIL,EL CARMEN,22/08/2019, 8711209000,2003,HONDA,CRF230F,230,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,8933.73,1072.05,;
JAPON,PUERTO BARRIOS,22/08/2019, 8703236900,2017,TOYOTA,COROLLA IM,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,38914.05,4669.69,;
JAPON,EL CARMEN,22/08/2019, 8703236900,2003,TOYOTA,RAV4 L 4WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,30533.76,3664.05,;
MEXICO,EL CARMEN,22/08/2019, 8703326900,2010,VOLKSWAGEN,JETTA TDI,2000,LIVIANO,AUTOMOVIL,OCASIONAL,DIESEL,5,4,0,14422.98,1730.76,;
BRASIL,EL CARMEN,22/08/2019, 8711209000,2006,YAMAHA,TT-R230,223,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,10308.75,1237.05,;
MEXICO,TECUN UMAN,22/08/2019, 8703236900,2012,FORD,FIESTA SES,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19294.58,2315.35,;
MEXICO,TECUN UMAN,22/08/2019, 8703236900,2018,HONDA,HR-V EX 2WD,1800,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,54201.27,6504.15,;
JAPON,TECUN UMAN,22/08/2019, 8703226900,2012,HONDA,FIT,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,18795.91,2255.51,;
ESTADOS UNIDOS,PUERTO BARRIOS,22/08/2019, 8704315100,2012,FORD,F-350 XL SUPER DUTY,6200,LIVIANO,PICK UP,OCASIONAL,GASOLINA,3,2,1,56504.26,6780.51,;
CANADA,G8; CENTRALSA,26/08/2019, 8703237900,2011,TOYOTA,RAV4 SPORT 4X2,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,32129.5,3855.54,
MEXICO,TECUN UMAN,22/08/2019, 8703237900,2018,MAZDA,MAZDA3 S TOURING,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,31285.6,3754.27,;
ARGENTINA,PUERTO QUETZAL,22/08/2019, 8704215900,2020,TOYOTA,HILUX,2393,LIVIANO,PICK UP,DISTRIBUIDOR,DIESEL,5,4,1,135384.25,16246.11,;
JAPON,EL CARMEN,22/08/2019, 8703237900,2009,TOYOTA,RAV4 4WD,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,37438.38,4492.61,;
REINO UNIDO,PUERTO BARRIOS,22/08/2019, 8703226900,2018,HONDA,CIVIC SPORT,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,67181.95,8061.83,;
JAPON,G8; CENTRALSA,23/08/2019, 8703236900,1998,TOYOTA,RAV4,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,12604.77,1512.57,
ESTADOS UNIDOS,EL CARMEN,22/08/2019, 8703236900,2004,TOYOTA,COROLLA LE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15328.26,1839.39,;
JAPON,SANTO TOMAS DE CASTILLA,13/08/2019, 8703226900,2009,TOYOTA,YARIS,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,9396.58,1127.59,;
JAPON,SANTO TOMAS DE CASTILLA,13/08/2019, 8703237900,2010,MAZDA,MAZDA3 S,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,15594.83,1871.38,;
ESTADOS UNIDOS,TECUN UMAN,13/08/2019, 8704315100,2003,TOYOTA,TACOMA XTRACAB SR5 4WD,3400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,31298.9,3755.87,;
ESTADOS UNIDOS,TECUN UMAN,13/08/2019, 8703249000,1999,FORD,E-150 TRITON,5400,LIVIANO,MICROBUS,OCASIONAL,GASOLINA,7,6,0,22093.34,2651.2,;
JAPON,EL CARMEN,13/08/2019, 8704219900,2000,MITSUBISHI,FUSO FH211,5860,PESADO,CAMION FURGON,OCASIONAL,DIESEL,3,2,3.4,40811.32,4897.36,;
CANADA,G1; INTEGRADA,16/08/2019, 8703236900,2014,HONDA,CIVIC LX,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20394.53,2447.34,
JAPON,G1; INTEGRADA,16/08/2019, 8703236900,2012,MAZDA,MAZDA3 I,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13051.95,1566.23,
MEXICO,SANTO TOMAS DE CASTILLA,13/08/2019, 8703236900,2014,MAZDA,MAZDA3 I,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17214.86,2065.78,;
CANADA,SANTO TOMAS DE CASTILLA,13/08/2019, 8703237900,2014,HONDA,CR-V EX-L 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,27342.2,3281.06,;
ESTADOS UNIDOS,TECUN UMAN,13/08/2019, 8704229000,2000,FREIGHTLINER,FL70,8300,PESADO,CAMION,OCASIONAL,DIESEL,2,2,10,41578.45,4989.41,;
CANADA,G8; CENTRALSA,14/08/2019, 8703236900,2012,HONDA,CIVIC EX,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,22576.64,2709.2,
JAPON,EL CARMEN,13/08/2019, 8703237900,2002,HONDA,CR-V 4WD LX,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,20559.08,2467.09,;
ESTADOS UNIDOS,TECUN UMAN,13/08/2019, 8704229000,1996,INTERNATIONAL,4900 DT466,7600,PESADO,CAMION FURGON,OCASIONAL,DIESEL,2,2,10,36975.67,4437.08,;
COREA DEL SUR,EL CARMEN,14/08/2019, 8703226900,2017,CHEVROLET,SPARK 1LT,1400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,35272.64,4232.72,;
JAPON,PUERTO BARRIOS,13/08/2019, 8703237900,2014,MAZDA,CX-5 SKYACTIV TECHNOLOGY,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,36828.22,4419.39,;
JAPON,PUERTO QUETZAL,13/08/2019, 8703236900,2006,HONDA,CIVIC,1990,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,23905.46,2868.66,;
ESTADOS UNIDOS,EL CARMEN,13/08/2019, 8704315100,1999,TOYOTA,TACOMA XTRA CAB 4X2 SR5,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,25928.99,3111.48,;
JAPON,EL CARMEN,14/08/2019, 8704315100,1992,TOYOTA,DLX XTRACAB 4WD,3000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,29850.79,3582.09,;
JAPON,TECUN UMAN,02/09/2019, 8703237900,2005,HONDA,CR-V EX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,19814.92,2377.79,;
COREA DEL SUR,PUERTO QUETZAL,02/09/2019, 8703326900,2004,HYUNDAI,TUCSON LX,2000,LIVIANO,CAMIONETA,OCASIONAL,DIESEL,5,5,0,17679.82,2121.58,;
COREA DEL SUR,PUERTO QUETZAL,04/09/2019, 8704215900,2009,KIA,BONGO III,2900,PESADO,CAMION,OCASIONAL,DIESEL,3,2,1,34741.62,4168.99,;
COREA DEL SUR,PUERTO QUETZAL,04/09/2019, 8704215900,2007,KIA,BONGO III,2900,PESADO,CAMION,OCASIONAL,DIESEL,5,4,1,28873.25,3464.79,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
INDIA,PUERTO QUETZAL,26/08/2019, 8711209000,2020,BAJAJ,PULSAR 180,179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2629382.51,315525.9,;
