Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto;
ESTADOS UNIDOS,EXPRESS AEREO,21/02/2019, 8703237900,2004,TOYOTA,CAMRY LE,2400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16372.82,1964.74,;
ESTADOS UNIDOS,EXPRESS AEREO,21/02/2019, 8711209000,2008,HONDA,CRF100F,99,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2183.06,261.97,;
JAPON,SANTO TOMAS DE CASTILLA,14/02/2019, 8703236900,2008,MITSUBISHI,LANCER,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11923.84,1430.86,;
REINO UNIDO,SANTO TOMAS DE CASTILLA,14/02/2019, 8703237900,2006,HONDA,CR-V EX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,15893.26,1907.19,;
JAPON,PUERTO BARRIOS,14/02/2019, 8703249000,2004,TOYOTA,4RUNNER SR5 4WD,4000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,29690.4,3562.85,;
JAPON,EL CARMEN,15/02/2019, 8703249000,2008,MAZDA,CX-9 2WD,3700,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,29443.72,3533.25,;
ESTADOS UNIDOS,TECUN UMAN,14/02/2019, 8701200000,2003,FREIGHTLINER,COLUMBIA 120,12700,PESADO,CABEZAL,OCASIONAL,DIESEL,2,2,15,48918.06,5870.17,;
JAPON,EL CARMEN,17/02/2019, 8704315100,1989,TOYOTA,DLX 4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,28562.25,3427.47,;
JAPON,EL CARMEN,18/02/2019, 8703236900,1995,MITSUBISHI,MIRAGE LS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,19189.5,2302.74,;
JAPON,EL CARMEN,17/02/2019, 8704315100,1990,TOYOTA,DLX XTRA CAB 4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,28562.17,3427.46,;
ESTADOS UNIDOS,EL CARMEN,19/02/2019, 8703249000,2000,NISSAN,XTERRA SE 2WD,3300,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,20695.76,2483.49,;
JAPON,EL CARMEN,21/02/2019, 8703226900,2005,TOYOTA,ECHO,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,13149.03,1577.88,;
CANADA,SANTO TOMAS DE CASTILLA,21/02/2019, 8703236900,2012,HONDA,CIVIC LX,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17318.43,2078.21,;
CANADA,SANTO TOMAS DE CASTILLA,21/02/2019, 8703237900,2011,TOYOTA,RAV4 4X2,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,24653.47,2958.42,;
JAPON,EL CARMEN,21/02/2019, 8703236900,2010,MAZDA,MAZDA3,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12971.45,1556.57,;
JAPON,SANTO TOMAS DE CASTILLA,21/02/2019, 8703236900,1998,TOYOTA,RAV4 4X2,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,13766.72,1652.01,;
JAPON,SANTO TOMAS DE CASTILLA,21/02/2019, 8703226900,2013,MAZDA,MAZDA2 TOURING,1500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,24762.11,2971.45,;
CANADA,PUERTO BARRIOS,01/03/2019, 8703237900,2013,HONDA,CR-V EX-L AWD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,37694.73,4523.37,;
INDIA,PUERTO QUETZAL,12/02/2019, 8711209000,2019,BAJAJ,PULSAR 180 (UG4),179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2631890.6,315826.87,;
INDIA,PUERTO QUETZAL,12/02/2019, 8711209000,2019,BAJAJ,PULSAR 180 (UG4),179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2631890.6,315826.87,;
INDIA,PUERTO QUETZAL,12/02/2019, 8711209000,2019,BAJAJ,PULSAR 180 (UG4),179,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2631890.6,315826.87,;
