Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;
INDIA,PUERTO QUETZAL,15/05/2019, 8711209000,2020,BAJAJ,PULSAR 125 NS,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2917580.18,350109.62,;
INDIA,PUERTO QUETZAL,15/05/2019, 8711209000,2020,BAJAJ,PULSAR 125 NS,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2917580.18,350109.62,;
INDIA,PUERTO QUETZAL,15/05/2019, 8711209000,2020,BAJAJ,PULSAR 125 NS,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2917580.18,350109.62,;
INDIA,PUERTO QUETZAL,15/05/2019, 8711209000,2020,BAJAJ,PULSAR 125 NS,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2917580.18,350109.62,;
INDIA,PUERTO QUETZAL,15/05/2019, 8711209000,2020,BAJAJ,PULSAR 125 NS,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2917580.18,350109.62,;
INDIA,PUERTO QUETZAL,15/05/2019, 8711209000,2020,BAJAJ,PULSAR 125 NS,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2917580.18,350109.62,;
INDIA,PUERTO QUETZAL,15/05/2019, 8711209000,2020,BAJAJ,PULSAR 125 NS,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2917580.18,350109.62,;
INDIA,PUERTO QUETZAL,15/05/2019, 8711209000,2020,BAJAJ,PULSAR 125 NS,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2917580.18,350109.62,;
INDIA,PUERTO QUETZAL,15/05/2019, 8711209000,2020,BAJAJ,PULSAR 125 NS,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2917580.18,350109.62,;
INDIA,PUERTO QUETZAL,15/05/2019, 8711209000,2020,BAJAJ,PULSAR 125 NS,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2917580.18,350109.62,;
INDIA,PUERTO QUETZAL,15/05/2019, 8711209000,2020,BAJAJ,PULSAR 125 NS,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2917580.18,350109.62,;
INDIA,PUERTO QUETZAL,15/05/2019, 8711209000,2020,BAJAJ,PULSAR 125 NS,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2917580.18,350109.62,;
INDIA,PUERTO QUETZAL,15/05/2019, 8711209000,2020,BAJAJ,PULSAR 125 NS,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2917580.18,350109.62,;
INDIA,PUERTO QUETZAL,15/05/2019, 8711209000,2020,BAJAJ,PULSAR 125 NS,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2917580.18,350109.62,;
INDIA,PUERTO QUETZAL,15/05/2019, 8711209000,2020,BAJAJ,PULSAR 125 NS,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,2917580.18,350109.62,;
